class,smd,lower,upper,data_subset,n_studies,n_arms
Exercise group + AD,-3.47288303101279,-4.706367973217935,-2.2393980888076452,ALL,311,675
Exercise individual,-0.7690457115073044,-1.4616857189685426,-0.07640570404606606,ALL,311,675
Exercise individual + AD,-1.46650101445237,-2.374421506417629,-0.558580522487111,ALL,311,675
Interpersonal psychotherapy (IPT) individual,-0.5748114349090216,-1.2109235700059777,0.06130070018793432,ALL,311,675
Interpersonal psychotherapy (IPT) individual + AD,-0.8348680296982698,-1.5777017857190256,-0.09203427367751393,ALL,311,675
Interpersonal psychotherapy (IPT) individual + placebo,-0.5406217658894832,-1.381014364308561,0.2997708325295948,ALL,311,675
Light therapy,-0.8870371368937979,-1.9184351841051677,0.1443609103175718,ALL,311,675
Light therapy + AD,-1.2308642679265915,-2.044471852592845,-0.41725668326033805,ALL,311,675
Mindfulness or meditation group,-4.257120572296982,-6.004299452298133,-2.509941692295831,ALL,311,675
Mirtazapine,-0.7524135891265162,-1.0054423569485202,-0.49938482130451217,ALL,311,675
Music therapy group,-0.7882455688706562,-2.245349170029188,0.6688580322878757,ALL,311,675
No treatment,-0.12604344043056592,-0.5888709199800264,0.3367840391188946,ALL,311,675
Peer support group,-1.3741373308205933,-2.675088455648276,-0.07318620599291048,ALL,311,675
Peer support group + AD,-1.4950760524311373,-2.7944131326685566,-0.19573897219371794,ALL,311,675
Placebo,0,0,0,ALL,311,675
Problem solving group,-2.9950869382684653,-4.190280481199832,-1.7998933953370984,ALL,311,675
Problem solving individual,-0.9853788622964861,-1.63039859652682,-0.3403591280661522,ALL,311,675
Psychoeducation group,-1.3616061450612782,-2.6571675150157326,-0.06604477510682405,ALL,311,675
Psychoeducation group + AD,-0.47898758278313114,-1.6644626797163562,0.7064875141500939,ALL,311,675
Relaxation individual + AD,-0.8048167747623296,-2.0142858335179166,0.40465228399325737,ALL,311,675
Relaxation individual + placebo,-0.17233114093679447,-1.365123696153501,1.020461414279912,ALL,311,675
Self-help,-0.6538298339595299,-1.2109098758835952,-0.09674979203546452,ALL,311,675
Self-help with support,-0.6357475323656256,-1.1830864431274852,-0.08840862160376606,ALL,311,675
Sham acupuncture,-0.3352531686939635,-1.0942669981334259,0.4237606607454988,ALL,311,675
Short-term psychodynamic psychotherapies individual,-0.7275390590255744,-1.3896160587261301,-0.06546205932501858,ALL,311,675
Short-term psychodynamic psychotherapies individual + AD,-0.519047179428691,-1.6858570546358236,0.6477626957784415,ALL,311,675
SNRIs,-0.751528993441736,-0.901682054002422,-0.60137593288105,ALL,311,675
SSRIs,-0.548004482383166,-0.6575148921463618,-0.43849407261997014,ALL,311,675
TAU,-0.3574689200727521,-0.8987728731312885,0.1838350329857843,ALL,311,675
TCAs,-0.6616031369203803,-0.8143894929215149,-0.5088167809192458,ALL,311,675
Trazodone,-0.3916811029292804,-0.736232972074853,-0.0471292337837077,ALL,311,675
Waitlist,0.6720149046399104,0.17917470610901853,1.1648551031708023,ALL,311,675
Yoga group,-0.902381202677117,-1.8732508447051002,0.06848843935086635,ALL,311,675
Yoga group + AD,-1.874999064035113,-3.3235186220227635,-0.42647950604746265,ALL,311,675
